SNR,BPSK_of_BPSK,QPSK_of_BPSK,8PSK_of_BPSK,16QAM_of_BPSK,BPSK_of_QPSK,QPSK_of_QPSK,8PSK_of_QPSK,16QAM_of_QPSK,BPSK_of_8PSK,QPSK_of_8PSK,8PSK_of_8PSK,16QAM_of_8PSK,BPSK_of_16QAM,QPSK_of_16QAM,8PSK_of_16QAM,16QAM_of_16QAM,total_classified
-10,0.9969,0.0025,0.0001,0.0005,0.9961,0.0022,0.0002,0.0015,0.9971,0.0017,0.0,0.0012,0.9978,0.0015,0.0001,0.0006,10000
-9,0.9911,0.0059,0.0004,0.0026,0.99,0.0054,0.0006,0.004,0.9908,0.0055,0.0006,0.0031,0.9884,0.0068,0.0007,0.0041,10000
-8,0.9766,0.0156,0.0018,0.006,0.9735,0.0169,0.001,0.0086,0.9697,0.0185,0.0014,0.0104,0.9714,0.0187,0.0015,0.0084,10000
-7,0.9517,0.0319,0.0028,0.0136,0.9343,0.0414,0.0043,0.02,0.9261,0.0453,0.0055,0.0231,0.9213,0.0519,0.0046,0.0222,10000
-6,0.9043,0.0603,0.0079,0.0275,0.8503,0.094,0.0121,0.0436,0.8544,0.0913,0.0108,0.0435,0.8378,0.1023,0.0102,0.0497,10000
-5,0.8574,0.0886,0.0187,0.0353,0.7248,0.1698,0.0264,0.079,0.7088,0.1749,0.0281,0.0882,0.6672,0.195,0.027,0.1108,10000
-4,0.8243,0.1078,0.0295,0.0384,0.5589,0.264,0.055,0.1221,0.5354,0.2738,0.059,0.1318,0.4738,0.2961,0.0499,0.1802,10000
-3,0.8134,0.1255,0.0351,0.026,0.3993,0.3543,0.0947,0.1517,0.3509,0.3603,0.1145,0.1743,0.2828,0.3696,0.0756,0.272,10000
-2,0.8368,0.1286,0.0226,0.012,0.2748,0.4288,0.1334,0.163,0.1852,0.3993,0.2054,0.2101,0.1421,0.382,0.1109,0.365,10000
-1,0.8596,0.1245,0.0099,0.006,0.1736,0.4956,0.16,0.1708,0.0946,0.3937,0.2978,0.2139,0.0664,0.3723,0.1364,0.4249,10000
0,0.8803,0.1162,0.0012,0.0023,0.1044,0.5636,0.1566,0.1754,0.0349,0.317,0.4337,0.2144,0.0323,0.326,0.1443,0.4974,10000
1,0.8988,0.1008,0.0001,0.0003,0.0591,0.6419,0.1338,0.1652,0.0074,0.229,0.5715,0.1921,0.0117,0.2919,0.1394,0.557,10000
2,0.9269,0.0731,0.0,0.0,0.0332,0.7043,0.1065,0.156,0.0026,0.1339,0.7069,0.1566,0.0045,0.2646,0.1493,0.5816,10000
3,0.9527,0.0473,0.0,0.0,0.0136,0.7644,0.0794,0.1426,0.0002,0.0758,0.8115,0.1125,0.0013,0.2192,0.1324,0.6471,10000
4,0.9689,0.0311,0.0,0.0,0.0057,0.815,0.0604,0.1189,0.0,0.0276,0.909,0.0634,0.0011,0.2034,0.1157,0.6798,10000
5,0.9824,0.0176,0.0,0.0,0.002,0.8605,0.0312,0.1063,0.0,0.0118,0.9516,0.0366,0.0003,0.2014,0.0851,0.7132,10000
6,0.9886,0.0114,0.0,0.0,0.0003,0.8984,0.0187,0.0826,0.0,0.0045,0.9777,0.0178,0.0004,0.2027,0.0825,0.7144,10000
7,0.9966,0.0034,0.0,0.0,0.0003,0.915,0.0178,0.0669,0.0,0.001,0.9923,0.0067,0.0002,0.1865,0.0694,0.7439,10000
8,0.9972,0.0028,0.0,0.0,0.0001,0.9431,0.0145,0.0423,0.0,0.0004,0.9982,0.0014,0.0,0.1782,0.0633,0.7585,10000
9,0.9997,0.0003,0.0,0.0,0.0,0.9534,0.0148,0.0318,0.0,0.0,0.9995,0.0005,0.0,0.1644,0.0493,0.7863,10000
